"Response ID","Submitted Date & Time","Age","Gender","Occupation","Monthly Household Income","Q1. Current Situation","Q2. Primary Purpose","Q3. Preferred Vehicle Type","Q4. Factor (Rank 1-8) - Price","Q4. Factor (Rank 1-8) - Safety","Q4. Factor (Rank 1-8) - Fuel Efficiency","Q4. Factor (Rank 1-8) - Reliability","Q4. Factor (Rank 1-8) - After-sales Service","Q4. Factor (Rank 1-8) - Brand Reputation","Q4. Factor (Rank 1-8) - Maintenance Cost","Q4. Factor (Rank 1-8) - Resale Value","Q5. Source (Rank 1-9) - Family members","Q5. Source (Rank 1-9) - Friends/Relatives","Q5. Source (Rank 1-9) - Social media","Q5. Source (Rank 1-9) - YouTube","Q5. Source (Rank 1-9) - Online reviews","Q5. Source (Rank 1-9) - Automobile websites","Q5. Source (Rank 1-9) - Dealer showroom","Q5. Source (Rank 1-9) - Newspaper/Magazine","Q5. Source (Rank 1-9) - Auto exhibitions/events","Q6. Most Likely Automobile Brand","Q7. Challenge (Rank 1-10) - High purchase price","Q7. Challenge (Rank 1-10) - High taxes/import duties","Q7. Challenge (Rank 1-10) - Limited financing options","Q7. Challenge (Rank 1-10) - High maintenance costs","Q7. Challenge (Rank 1-10) - Fuel costs","Q7. Challenge (Rank 1-10) - Availability of spare parts","Q7. Challenge (Rank 1-10) - Limited vehicle availability","Q7. Challenge (Rank 1-10) - Poor after-sales service","Q7. Challenge (Rank 1-10) - Charging infrastructure (for EVs)","Q7. Challenge (Rank 1-10) - Low resale value","# Consider purchasing an Electric Vehicle (EV)","Q8. EV Factor (Rank 1-7) - Lower running costs","Q8. EV Factor (Rank 1-7) - Government incentives","Q8. EV Factor (Rank 1-7) - Better charging infrastructure","Q8. EV Factor (Rank 1-7) - Longer driving range","Q8. EV Factor (Rank 1-7) - Environmental benefits","Q8. EV Factor (Rank 1-7) - Lower purchase price","Q8. EV Factor (Rank 1-7) - Faster charging","Q9. Preferred Brand","Q9. Preferred Model","Q10. Brand Importance","Q11. Brand Attribute (Rank 1-11) - Reliability and durability","Q11. Brand Attribute (Rank 1-11) - Vehicle quality","Q11. Brand Attribute (Rank 1-11) - Safety","Q11. Brand Attribute (Rank 1-11) - Fuel efficiency","Q11. Brand Attribute (Rank 1-11) - Value for money","Q11. Brand Attribute (Rank 1-11) - Resale value","Q11. Brand Attribute (Rank 1-11) - After-sales service","Q11. Brand Attribute (Rank 1-11) - Availability of spare parts","Q11. Brand Attribute (Rank 1-11) - Innovative technology","Q11. Brand Attribute (Rank 1-11) - Design and styling","Q11. Brand Attribute (Rank 1-11) - Environmentally friendly (Hybrid/EV)","Q12. Approach when choosing brand","Q13. What makes brand trustworthy in Nepal (Open-ended)","Q14. WhatsApp Number for Gift Hamper"
"GF-011","08/08/2026, 01:30:00 AM","35–44","Female","Professional (e.g., Doctor, Engineer, Lawyer, Consultant)","NPR 100,001–200,000","I plan to purchase one in the next 1–3 years.","Personal transportation","SUV","Rank 1","Rank 4","Rank 2","Rank 5","Rank 6","Rank 8","Rank 3","Rank 7","Rank 4","Rank 3","Rank 1","Rank 2","Rank 5","Rank 6","Rank 8","Rank 9","Rank 7","Hyundai","Rank 1","Rank 2","Rank 5","Rank 3","Rank 4","Rank 7","Rank 6","Rank 8","Rank 9","Rank 10","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Hyundai","I20","Very Important","Rank 1","Rank 2","Rank 3","Rank 4","Rank 6","Rank 5","Rank 8","Rank 7","Rank 9","Rank 11","Rank 10","I usually stick to a brand I trust.","Reliability",""
"GF-012","08/08/2026, 02:15:00 AM","Below 25","Male","Student","Below NPR 50,000","I plan to purchase one in the next 1–3 years.","Personal transportation","Hatchback","Rank 2","Rank 3","Rank 4","Rank 1","Rank 6","Rank 5","Rank 8","Rank 7","Rank 5","Rank 1","Rank 3","Rank 2","Rank 4","Rank 6","Rank 7","Rank 9","Rank 8","Kia","Rank 1","Rank 2","Rank 7","Rank 3","Rank 4","Rank 5","Rank 8","Rank 10","Rank 9","Rank 6","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","KIA","SONET","Not Important","Rank 4","Rank 1","Rank 3","Rank 2","Rank 10","Rank 5","Rank 7","Rank 6","Rank 8","Rank 9","Rank 11","I am willing to try a new or emerging brand.","Technology",""
"GF-013","08/08/2026, 02:55:00 AM","25–34","Female","Private Sector Employee","NPR 50,000–100,000","I plan to purchase one in the next 1–3 years.","Family use","Sedan","Rank 1","Rank 3","Rank 2","Rank 4","Rank 5","Rank 8","Rank 6","Rank 7","Rank 1","Rank 2","Rank 5","Rank 4","Rank 3","Rank 7","Rank 6","Rank 9","Rank 8","MG","Rank 1","Rank 2","Rank 6","Rank 4","Rank 3","Rank 5","Rank 7","Rank 8","Rank 10","Rank 9","Yes","Rank 1","Rank 2","Rank 6","Rank 5","Rank 4","Rank 7","Rank 3","MG","Comet","Important","Rank 1","Rank 2","Rank 4","Rank 3","Rank 5","Rank 6","Rank 7","Rank 10","Rank 8","Rank 9","Rank 11","Brand is less important than vehicle features and price.","Comfort",""
"GF-014","08/08/2026, 03:45:00 AM","25–34","Female","Private Sector Employee","NPR 50,000–100,000","I plan to purchase one in the next 1–3 years.","Family use","SUV","Rank 2","Rank 1","Rank 3","Rank 4","Rank 5","Rank 8","Rank 7","Rank 6","Rank 7","Rank 8","Rank 9","Rank 6","Rank 5","Rank 4","Rank 2","Rank 3","Rank 1","Toyota","Rank 3","Rank 5","Rank 1","Rank 4","Rank 10","Rank 2","Rank 7","Rank 6","Rank 9","Rank 8","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Toyota","SUV","Moderately Important","Rank 1","Rank 3","Rank 2","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 4","I compare several brands before making a decision.","Affordability & Reliability",""
"GF-015","08/08/2026, 04:30:00 AM","Below 25","Male","Business Owner / Entrepreneur","Below NPR 50,000","I currently own a four-wheeler.","Personal transportation","SUV","Rank 7","Rank 1","Rank 5","Rank 2","Rank 4","Rank 3","Rank 6","Rank 8","Rank 9","Rank 8","Rank 7","Rank 6","Rank 2","Rank 3","Rank 4","Rank 5","Rank 1","Nissan","Rank 3","Rank 2","Rank 10","Rank 5","Rank 4","Rank 7","Rank 6","Rank 8","Rank 9","Rank 1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Nissan","2015","Slightly Important","Rank 1","Rank 2","Rank 3","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 4","Rank 11","I usually stick to a brand I trust.","Built quality and good at international market",""
"KOBO-833245403","08/07/2026, 01:59:00 PM","25–34","Male","Business Owner / Entrepreneur","Above NPR 200,000","I plan to purchase a four-wheeler within the next 12 months.","Personal transportation","SUV","Rank 8","Rank 4","Rank 7","Rank 5","Rank 1","Rank 2","Rank 3","Rank 6","Rank 9","Rank 6","Rank 2","Rank 1","Rank 7","Rank 5","Rank 8","Rank 4","Rank 3","BYD","Rank 10","Rank 9","Rank 1","Rank 7","Rank 8","Rank 6","Rank 2","Rank 4","Rank 3","Rank 5","Yes","Rank 7","Rank 5","Rank 2","Rank 1","Rank 3","Rank 6","Rank 4","BYD","BYD Atto 2","Important","Rank 9","Rank 8","Rank 6","Rank 7","Rank 11","Rank 10","Rank 5","Rank 4","Rank 3","Rank 2","Rank 1","I compare several brands before making a decision.","Durability and resale value.","9860104977"
"KOBO-833309387","08/07/2026, 03:07:00 PM","25–34","Male","Business Owner / Entrepreneur","NPR 100,001–200,000","I currently own a four-wheeler.","Personal transportation","Hatchback","Rank 2","Rank 3","Rank 4","Rank 1","Rank 8","Rank 7","Rank 5","Rank 6","Rank 2","Rank 3","Rank 7","Rank 6","Rank 4","Rank 5","Rank 1","Rank 8","Rank 9","BYD","Rank 1","Rank 6","Rank 10","Rank 5","Rank 4","Rank 2","Rank 3","Rank 7","Rank 9","Rank 8","Yes","Rank 3","Rank 7","Rank 4","Rank 1","Rank 6","Rank 5","Rank 2","BYD","Atto 1","Very Important","Rank 1","Rank 3","Rank 2","Rank 4","Rank 5","Rank 6","Rank 9","Rank 7","Rank 8","Rank 10","Rank 11","I compare several brands before making a decision.","A good network of service centers, easy availability of spare parts, production of high quality cars","9840099441"
"KOBO-833352447","08/07/2026, 04:30:00 PM","35–44","Male","Government Employee","Above NPR 200,000","I currently own a four-wheeler.","Personal transportation","SUV","Rank 4","Rank 7","Rank 6","Rank 8","Rank 1","Rank 3","Rank 5","Rank 2","Rank 9","Rank 7","Rank 6","Rank 5","Rank 8","Rank 1","Rank 2","Rank 3","Rank 4","BYD","Rank 10","Rank 1","Rank 9","Rank 8","Rank 7","Rank 6","Rank 5","Rank 4","Rank 3","Rank 2","Yes","Rank 6","Rank 5","Rank 4","Rank 7","Rank 1","Rank 3","Rank 2","BYD","Otto 2","Important","Rank 11","Rank 10","Rank 9","Rank 8","Rank 7","Rank 6","Rank 5","Rank 4","Rank 3","Rank 2","Rank 1","I compare several brands before making a decision.","price, safety and services after sale","+18676869002"
"KOBO-833409617","08/07/2026, 05:35:00 PM","25–34","Male","Government Employee","NPR 100,001–200,000","I currently own a four-wheeler.","Personal transportation","SUV","Rank 1","Rank 3","Rank 2","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 1","Rank 7","Rank 3","Rank 2","Rank 4","Rank 5","Rank 9","Rank 8","Rank 6","Toyota","Rank 1","Rank 2","Rank 7","Rank 10","Rank 9","Rank 6","Rank 3","Rank 4","Rank 8","Rank 5","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Tata","Punch ev latest facelift 40kwh battery pack variant","Important","Rank 3","Rank 4","Rank 9","Rank 2","Rank 1","Rank 5","Rank 6","Rank 7","Rank 10","Rank 11","Rank 8","I compare several brands before making a decision.","It is not at all.",""
"KOBO-833590863","08/08/2026, 01:00:00 PM","25–34","Female","Private Sector Employee","Above NPR 200,000","I currently own a four-wheeler.","Personal transportation","SUV","Rank 8","Rank 7","Rank 6","Rank 5","Rank 4","Rank 3","Rank 2","Rank 1","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Nissan","Rank 10","Rank 9","Rank 8","Rank 7","Rank 6","Rank 5","Rank 4","Rank 3","Rank 2","Rank 1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Honda","Accord","Important","Rank 11","Rank 10","Rank 9","Rank 8","Rank 7","Rank 6","Rank 5","Rank 4","Rank 3","Rank 2","Rank 1","I usually stick to a brand I trust.","Resale value",""
"KOBO-833622483","08/08/2026, 02:15:00 PM","35–44","Male","Government Employee","NPR 50,000–100,000","I currently own a four-wheeler.","Family use","SUV","Rank 4","Rank 2","Rank 1","Rank 3","Rank 5","Rank 7","Rank 6","Rank 8","Rank 5","Rank 6","Rank 7","Rank 8","Rank 4","Rank 2","Rank 1","Rank 9","Rank 3","Hyundai","Rank 1","Rank 4","Rank 3","Rank 7","Rank 2","Rank 5","Rank 10","Rank 6","Rank 9","Rank 8","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Byd","Atto 2","Important","Rank 3","Rank 2","Rank 1","Rank 4","Rank 8","Rank 7","Rank 9","Rank 6","Rank 10","Rank 5","Rank 11","I compare several brands before making a decision.","Consumer’s feedback and international experience.",""
"KOBO-833629574","08/08/2026, 02:57:00 PM","25–34","Male","Business Owner / Entrepreneur","Above NPR 200,000","I plan to purchase a four-wheeler within the next 12 months.","Personal transportation","SUV","Rank 1","Rank 8","Rank 3","Rank 5","Rank 6","Rank 4","Rank 7","Rank 2","Rank 1","Rank 2","Rank 6","Rank 3","Rank 5","Rank 4","Rank 7","Rank 9","Rank 8","BYD","Rank 1","Rank 2","Rank 5","Rank 6","Rank 3","Rank 7","Rank 8","Rank 9","Rank 10","Rank 4","Yes","Rank 1","Rank 3","Rank 4","Rank 7","Rank 6","Rank 2","Rank 5","BYD","Atto 2","Important","Rank 6","Rank 3","Rank 9","Rank 4","Rank 1","Rank 2","Rank 5","Rank 7","Rank 10","Rank 8","Rank 11","I compare several brands before making a decision.","Price and resale value",""
"KOBO-833631099","08/08/2026, 03:30:00 PM","35–44","Male","Business Owner / Entrepreneur","NPR 100,001–200,000","I currently own a four-wheeler.","Personal transportation","SUV","Rank 1","Rank 8","Rank 4","Rank 2","Rank 6","Rank 5","Rank 7","Rank 3","Rank 1","Rank 2","Rank 6","Rank 4","Rank 3","Rank 5","Rank 8","Rank 9","Rank 7","Hyundai","Rank 2","Rank 1","Rank 5","Rank 6","Rank 3","Rank 7","Rank 9","Rank 8","Rank 10","Rank 4","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Hyundai","Creta","Not Important","Rank 1","Rank 3","Rank 9","Rank 4","Rank 7","Rank 2","Rank 5","Rank 8","Rank 10","Rank 6","Rank 11","I usually stick to a brand I trust.","Lifelong",""
"KOBO-833633023","08/08/2026, 03:55:00 PM","35–44","Male","Business Owner / Entrepreneur","Above NPR 200,000","I currently own a four-wheeler.","Business use","SUV","Rank 1","Rank 8","Rank 4","Rank 3","Rank 5","Rank 7","Rank 6","Rank 2","Rank 5","Rank 4","Rank 3","Rank 2","Rank 1","Rank 6","Rank 7","Rank 9","Rank 8","Tata","Rank 1","Rank 2","Rank 5","Rank 4","Rank 3","Rank 8","Rank 7","Rank 9","Rank 10","Rank 6","Yes","Rank 1","Rank 2","Rank 5","Rank 4","Rank 3","Rank 6","Rank 7","Tata","Nexon","Important","Rank 1","Rank 2","Rank 9","Rank 7","Rank 3","Rank 4","Rank 5","Rank 6","Rank 8","Rank 10","Rank 11","I usually stick to a brand I trust.","Sale value",""
"KOBO-833636632","08/08/2026, 04:25:00 PM","25–34","Male","Government Employee","NPR 100,001–200,000","I plan to purchase one in the next 1–3 years.","Family use","SUV","Rank 1","Rank 4","Rank 2","Rank 3","Rank 7","Rank 8","Rank 6","Rank 5","Rank 7","Rank 2","Rank 1","Rank 6","Rank 3","Rank 5","Rank 4","Rank 9","Rank 8","BYD","Rank 1","Rank 5","Rank 4","Rank 10","Rank 2","Rank 3","Rank 9","Rank 8","Rank 7","Rank 6","Yes","Rank 1","Rank 7","Rank 6","Rank 4","Rank 3","Rank 2","Rank 5","BYD","Auto","Moderately Important","Rank 1","Rank 4","Rank 8","Rank 5","Rank 9","Rank 7","Rank 10","Rank 11","Rank 6","Rank 2","Rank 3","I choose the brand that offers the best value for money.","Customer care, EMI, reliability makes brand trusty worthy",""
"KOBO-833805878","08/08/2026, 06:00:00 PM","25–34","Male","Professional (e.g., Doctor, Engineer, Lawyer, Consultant)","NPR 50,000–100,000","I have no immediate plans to purchase a four-wheeler.","Family use","Sedan","Rank 5","Rank 4","Rank 8","Rank 7","Rank 3","Rank 6","Rank 2","Rank 1","Rank 9","Rank 4","Rank 3","Rank 2","Rank 5","Rank 1","Rank 7","Rank 6","Rank 8","Toyota","Rank 1","Rank 2","Rank 3","Rank 10","Rank 4","Rank 5","Rank 6","Rank 9","Rank 7","Rank 8","Yes","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 7","Rank 6","BMW","BMW","Moderately Important","Rank 8","Rank 9","Rank 11","Rank 10","Rank 7","Rank 6","Rank 2","Rank 5","Rank 4","Rank 1","Rank 3","I usually stick to a brand I trust.","Nice",""
"KOBO-833839885","08/08/2026, 06:45:00 PM","25–34","Male","Private Sector Employee","NPR 50,000–100,000","I have no immediate plans to purchase a four-wheeler.","Family use","SUV","Rank 1","Rank 4","Rank 2","Rank 3","Rank 6","Rank 8","Rank 5","Rank 7","Rank 2","Rank 3","Rank 4","Rank 1","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","BYD","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 7","Rank 9","Rank 8","Rank 6","Rank 10","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","BYD","Atto 2","Important","Rank 5","Rank 4","Rank 2","Rank 3","Rank 1","Rank 10","Rank 8","Rank 9","Rank 11","Rank 6","Rank 7","I compare several brands before making a decision.","After sales service and value for money.","9862220997"
"KOBO-834199318","08/09/2026, 02:15:00 PM","Below 25","Female","Student","NPR 50,000–100,000","I have no immediate plans to purchase a four-wheeler.","Family use","SUV","Rank 2","Rank 1","Rank 7","Rank 4","Rank 8","Rank 3","Rank 5","Rank 6","Rank 1","Rank 2","Rank 9","Rank 8","Rank 3","Rank 7","Rank 5","Rank 4","Rank 6","Toyota","Rank 1","Rank 2","Rank 3","Rank 6","Rank 4","Rank 8","Rank 7","Rank 9","Rank 10","Rank 5","Yes","Rank 2","Rank 4","Rank 5","Rank 3","Rank 6","Rank 1","Rank 7","BYD","Dolphin","Very Important","Rank 4","Rank 3","Rank 1","Rank 5","Rank 2","Rank 11","Rank 6","Rank 8","Rank 10","Rank 7","Rank 9","I compare several brands before making a decision.","Value for money and safety and reliability","9840252810"
